fund,date,value,type
Fund 1,11/14/2008,-272.6157935,C
Fund 1,12/10/2008,-65.97282493,C
Fund 1,12/19/2008,0.119294517,C
Fund 1,5/29/2009,-0.299976952,C
Fund 1,8/12/2009,-8.517713057,C
Fund 1,10/22/2009,-7.62538314,C
Fund 1,11/27/2009,-10.76361284,C
Fund 1,12/18/2009,-72.64691865,C
Fund 1,3/8/2010,-12.44986911,C
Fund 1,4/1/2010,33.81235814,C
Fund 1,5/10/2010,-18.72683928,C
Fund 1,5/27/2010,-15.73545147,C
Fund 1,6/14/2010,-22.86260073,C
Fund 1,6/25/2010,-6.843274689,C
Fund 1,7/2/2010,-14.55972752,C
Fund 1,8/30/2010,16.76298799,C
Fund 1,9/30/2010,12.60156848,C
Fund 1,10/14/2010,-13.23932684,C
Fund 1,12/2/2010,-12.21678074,C
Fund 1,12/7/2010,3.236734201,C
Fund 1,12/15/2010,-13.5186228,C
Fund 1,12/22/2010,-31.83503286,C
Fund 1,1/12/2011,1.096099361,C
Fund 1,1/28/2011,-27.18343017,C
Fund 1,3/7/2011,-4.755127718,C
Fund 1,3/31/2011,-4.354734827,C
Fund 1,5/26/2011,-18.50756225,C
Fund 1,5/27/2011,-43.9390093,C
Fund 1,6/30/2011,-7.142806893,C
Fund 1,7/18/2011,-6.605713772,C
Fund 1,9/15/2011,-16.66743874,C
Fund 1,9/27/2011,-15.3950291,C
Fund 1,10/28/2011,-5.827424117,C
Fund 1,10/31/2011,-5.476429135,C
Fund 1,11/1/2011,-56.19058445,C
Fund 1,11/8/2011,-20.59086242,C
Fund 1,11/9/2011,-12.69259049,C
Fund 1,12/20/2011,-7.882393193,C
Fund 1,1/3/2012,-10.8784499,C
Fund 1,2/15/2012,-3.263346034,C
Fund 1,3/6/2012,-4.582374825,C
Fund 1,4/3/2012,-12.25198491,C
Fund 1,5/1/2012,-2.210964491,C
Fund 1,5/3/2012,18.65577797,C
Fund 1,5/7/2012,-10.59946021,C
Fund 1,5/17/2012,-5.675524845,C
Fund 1,7/20/2012,-5.269150399,C
Fund 1,10/2/2012,-6.315897736,C
Fund 1,10/18/2012,-4.536076244,C
Fund 1,11/8/2012,-4.714773181,C
Fund 1,12/11/2012,-62.31992402,C
Fund 1,12/19/2012,-31.64366265,C
Fund 1,12/21/2012,44.31737866,C
Fund 1,12/27/2012,-8.283365904,C
Fund 1,2/25/2013,14.46600684,C
Fund 1,3/26/2013,-5.679537497,C
Fund 1,4/4/2013,-2.151846936,C
Fund 1,4/24/2013,-2.336813018,C
Fund 1,5/2/2013,-3.122361616,C
Fund 1,6/3/2013,1.004395579,C
Fund 1,6/10/2013,-3.529334947,C
Fund 1,6/20/2013,32.79761943,C
Fund 1,7/10/2013,-4.291284652,C
Fund 1,7/24/2013,16.63630024,C
Fund 1,8/6/2013,4.94204024,C
Fund 1,9/20/2013,-3.84046671,C
